epoch,learning_rate,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0010000000474974513,0.5910946130752563,0.5855194330215454,0.08510082215070724,0.2792830169200897
1,0.0010000000474974513,0.20747599005699158,0.3560132086277008,0.06245681270956993,0.23528055846691132
2,0.0010000000474974513,0.1099291667342186,0.2588672935962677,0.030007924884557724,0.1555870920419693
3,0.0010000000474974513,0.06667482107877731,0.20119424164295197,0.01833294704556465,0.11784934252500534
4,0.0010000000474974513,0.04796985164284706,0.1722126305103302,0.022034401074051857,0.13093248009681702
5,0.0010000000474974513,0.03772944584488869,0.15243488550186157,0.016770385205745697,0.11212445795536041
6,0.0010000000474974513,0.032953742891550064,0.14307203888893127,0.015498247928917408,0.10716482251882553
7,0.0010000000474974513,0.027990471571683884,0.13200053572654724,0.02832123078405857,0.15074826776981354
8,0.0010000000474974513,0.026225002482533455,0.12758362293243408,0.01410695631057024,0.10165859758853912
9,0.0010000000474974513,0.02459779754281044,0.12318119406700134,0.010155852884054184,0.08423414826393127
10,0.0010000000474974513,0.022929586470127106,0.11955224722623825,0.009985796175897121,0.0832054615020752
11,0.0010000000474974513,0.022491421550512314,0.11810986697673798,0.009117304347455502,0.07913917303085327
12,0.0010000000474974513,0.021669352427124977,0.11574734002351761,0.009464479982852936,0.08085135370492935
13,0.0010000000474974513,0.0211374182254076,0.11450818181037903,0.009785312227904797,0.08231216669082642
14,0.0010000000474974513,0.020599443465471268,0.11292697489261627,0.007910963147878647,0.07314328104257584
15,0.0010000000474974513,0.020434286445379257,0.11251465976238251,0.00855448842048645,0.07641525566577911
16,0.0010000000474974513,0.019947528839111328,0.11096951365470886,0.007864329032599926,0.07313170284032822
17,0.0010000000474974513,0.018168792128562927,0.10580568015575409,0.006788255646824837,0.0674753412604332
18,0.0010000000474974513,0.013915029354393482,0.09144152700901031,0.004663428757339716,0.05417904257774353
19,0.0010000000474974513,0.010955343954265118,0.08081342279911041,0.004383201245218515,0.05338604375720024
20,0.0010000000474974513,0.009537743404507637,0.07582930475473404,0.003103574737906456,0.04553690925240517
21,0.0010000000474974513,0.008697645738720894,0.07244011759757996,0.003257801989093423,0.04588158056139946
22,0.0010000000474974513,0.008090196177363396,0.06987239420413971,0.003586099250242114,0.047322098165750504
23,0.0010000000474974513,0.007470091804862022,0.06684577465057373,0.002457164693623781,0.038888391107320786
24,0.0010000000474974513,0.007091630715876818,0.06551048904657364,0.002125409198924899,0.036461830139160156
25,0.0010000000474974513,0.006861155387014151,0.06486968696117401,0.002108681946992874,0.036440201103687286
26,0.0010000000474974513,0.006558660883456469,0.06300470978021622,0.002346704714000225,0.03844454512000084
27,0.0010000000474974513,0.006484247278422117,0.06293711066246033,0.0029460496734827757,0.04317105561494827
28,0.0010000000474974513,0.0062703597359359264,0.061598729342222214,0.002754528308287263,0.04089868813753128
29,0.0010000000474974513,0.006003022193908691,0.060593169182538986,0.002087970729917288,0.03634939342737198
30,0.0010000000474974513,0.005922520998865366,0.05980132892727852,0.0019431104883551598,0.03440580144524574
31,0.0010000000474974513,0.005868210922926664,0.05914323776960373,0.00328923761844635,0.04716877639293671
32,0.0010000000474974513,0.005570113193243742,0.05828006938099861,0.001663886127062142,0.03216030076146126
33,0.0010000000474974513,0.005455933045595884,0.05784744396805763,0.0017066507134586573,0.03268406540155411
34,0.0010000000474974513,0.00544739980250597,0.05763573944568634,0.002464531920850277,0.03920942544937134
35,0.0010000000474974513,0.005418000277131796,0.05731381103396416,0.0016437260201200843,0.031923528760671616
36,0.0010000000474974513,0.005414011888206005,0.05769336223602295,0.0022109539713710546,0.037460435181856155
37,0.0010000000474974513,0.005262829829007387,0.05665401369333267,0.0023169261403381824,0.03846829757094383
38,0.0010000000474974513,0.005329684820026159,0.05702005326747894,0.0027301162481307983,0.04263107478618622
39,0.0010000000474974513,0.005115719046443701,0.05600481852889061,0.0014357254840433598,0.029591895639896393
40,0.0010000000474974513,0.0049491929821670055,0.05492815747857094,0.0014456065837293863,0.03033505752682686
41,0.0010000000474974513,0.005027466453611851,0.05557188019156456,0.0014942121924832463,0.030682317912578583
