Dataset,RMSE,MAE,R2
Train,0.0035846865242846223,0.002780619159713664,0.862828303124354
Validation,0.002121991057978043,0.0016868544768684289,0.8731186577620449
Test,0.0018040213925792025,0.0014393804944904023,0.9288765918286848
